VBELN,ERDAT,AUART,KUNNR,VKORG,VTWEG,SPART,WAERK
OR00001266,2021-11-01,ZOR,C000030,1000,20,02,EUR
OR00001267,2022-12-10,ZOR,C000075,1000,20,00,EUR
OR00001268,2023-02-23,ZOR,C000055,1000,20,00,USD
OR00001269,2023-05-27,ZOR,C000030,3000,20,01,GBP
OR00001270,2022-09-03,OR,C000058,3000,10,02,GBP
OR00001271,2023-08-09,RE,C000045,3000,30,02,EUR
OR00001272,2024-01-20,OR,C000056,1000,20,02,EUR
OR00001273,2023-10-24,RE,C000079,1000,10,00,GBP
OR00001274,2021-08-14,ZOR,C000028,1000,20,01,EUR
OR00001275,2023-02-23,RE,C000049,2000,20,02,USD
OR00001276,2022-01-02,RE,C000001,2000,20,00,GBP
OR00001277,2022-07-11,ZOR,C000074,2000,10,00,USD
OR00001278,2024-09-15,ZOR,C000068,3000,20,00,USD
OR00001279,2022-03-03,ZOR,C000007,3000,10,00,USD
OR00001280,2023-03-10,RE,C000013,3000,20,02,GBP
OR00001281,2023-06-09,ZOR,C000010,1000,30,02,USD
OR00001282,2023-08-15,ZOR,C000065,3000,30,01,GBP
OR00001283,2023-04-27,OR,C000038,2000,20,01,USD
OR00001284,2021-04-22,ZOR,C000003,2000,10,00,GBP
OR00001285,2022-10-09,OR,C000018,3000,30,02,USD
OR00001286,2023-03-25,OR,C000029,1000,10,02,USD
OR00001287,2021-12-02,RE,C000039,2000,20,00,USD
OR00001288,2022-11-01,RE,C000032,3000,30,02,GBP
OR00001289,2021-07-26,ZOR,C000035,1000,20,00,GBP
OR00001290,2021-11-14,OR,C000048,2000,30,02,EUR
OR00001291,2022-12-14,RE,C000027,3000,30,02,EUR
OR00001292,2022-02-16,ZOR,C000039,2000,10,00,GBP
OR00001293,2023-05-02,RE,C000076,3000,30,02,USD
OR00001294,2023-08-04,RE,C000013,3000,20,01,GBP
OR00001295,2023-11-14,OR,C000016,2000,20,00,GBP
OR00001296,2022-05-21,RE,C000059,3000,30,02,EUR
OR00001297,2022-04-08,RE,C000015,2000,30,01,GBP
OR00001298,2022-01-01,OR,C000050,2000,30,00,USD
OR00001299,2023-06-23,ZOR,C000069,1000,30,02,GBP
OR00001300,2023-08-18,ZOR,C000004,3000,10,00,USD
OR00001301,2021-07-20,OR,C000027,1000,20,00,GBP
OR00001302,2024-05-11,ZOR,C000018,3000,10,00,GBP
OR00001303,2021-09-15,OR,C000039,2000,30,00,GBP
OR00001304,2023-04-13,ZOR,C000005,3000,10,02,EUR
OR00001305,2023-08-20,OR,C000045,1000,30,00,USD
OR00001306,2024-02-03,OR,C000040,1000,30,01,EUR
OR00001307,2023-08-25,ZOR,C000027,3000,20,00,USD
OR00001308,2023-11-15,RE,C000001,3000,20,00,EUR
OR00001309,2022-10-21,ZOR,C000001,3000,30,00,GBP
OR00001310,2023-11-29,RE,C000024,1000,20,00,GBP
OR00001311,2021-11-17,OR,C000014,2000,30,00,EUR
OR00001312,2024-03-06,RE,C000047,1000,30,01,GBP
OR00001313,2023-04-17,OR,C000032,3000,20,00,GBP
OR00001314,2023-12-02,RE,C000037,1000,10,00,GBP
OR00001315,2023-01-31,OR,C000019,3000,30,02,GBP
OR00001316,2023-06-28,RE,C000078,3000,10,02,EUR
OR00001317,2023-04-01,ZOR,C000011,1000,20,01,USD
OR00001318,2023-09-09,RE,C000025,2000,30,02,USD
OR00001319,2021-11-20,ZOR,C000036,3000,10,01,USD
OR00001320,2021-10-05,ZOR,C000002,1000,20,01,USD
OR00001321,2022-07-17,OR,C000042,3000,20,00,USD
OR00001322,2022-03-28,ZOR,C000012,3000,10,00,EUR
OR00001323,2024-02-04,OR,C000005,1000,30,00,GBP
OR00001324,2022-06-14,OR,C000024,2000,10,02,GBP
OR00001325,2024-08-09,ZOR,C000080,3000,20,00,GBP
OR00001326,2022-10-19,ZOR,C000056,1000,10,01,EUR
OR00001327,2022-04-28,RE,C000028,1000,10,01,GBP
OR00001328,2023-11-03,ZOR,C000058,2000,30,01,EUR
OR00001329,2023-07-10,OR,C000009,3000,10,02,USD
OR00001330,2023-03-10,RE,C000004,2000,30,01,USD
OR00001331,2023-04-23,ZOR,C000054,1000,10,01,USD
OR00001332,2023-08-29,ZOR,C000034,3000,30,02,GBP
OR00001333,2022-06-25,RE,C000013,1000,20,01,USD
OR00001334,2024-11-05,RE,C000041,2000,20,01,GBP
OR00001335,2024-08-06,ZOR,C000050,1000,10,02,USD
OR00001336,2023-07-03,OR,C000048,1000,10,01,EUR
OR00001337,2022-05-21,ZOR,C000032,3000,30,00,GBP
OR00001338,2023-07-27,RE,C000063,2000,10,01,USD
OR00001339,2021-10-31,ZOR,C000027,2000,30,02,EUR
OR00001340,2021-07-17,RE,C000064,1000,20,00,EUR
OR00001341,2022-07-29,OR,C000012,2000,10,02,USD
OR00001342,2023-02-09,RE,C000068,1000,10,02,GBP
OR00001343,2024-01-30,OR,C000035,2000,20,01,GBP
OR00001344,2023-09-05,OR,C000080,2000,30,01,EUR
OR00001345,2023-09-19,ZOR,C000062,1000,10,01,GBP
OR00001346,2023-01-08,ZOR,C000069,1000,20,01,GBP
OR00001347,2022-10-28,OR,C000070,2000,10,00,GBP
OR00001348,2022-11-20,RE,C000009,2000,20,01,GBP
OR00001349,2024-09-19,OR,C000022,3000,20,01,EUR
OR00001350,2021-08-15,RE,C000001,2000,10,02,USD
OR00001351,2024-01-29,OR,C000057,1000,10,00,GBP
OR00001352,2023-05-11,RE,C000016,3000,20,00,EUR
OR00001353,2023-01-19,RE,C000003,3000,20,00,USD
OR00001354,2023-09-03,RE,C000003,2000,20,02,USD
OR00001355,2023-02-28,RE,C000045,3000,10,02,EUR
OR00001356,2024-02-06,RE,C000050,1000,10,00,USD
OR00001357,2024-03-15,RE,C000047,1000,20,01,GBP
OR00001358,2023-01-05,OR,C000039,2000,10,02,USD
OR00001359,2022-08-19,RE,C000049,1000,10,00,USD
OR00001360,2023-05-21,ZOR,C000009,3000,10,02,USD
OR00001361,2024-04-01,RE,C000007,1000,30,01,EUR
OR00001362,2022-06-04,ZOR,C000059,3000,10,00,USD
OR00001363,2023-06-13,ZOR,C000002,2000,10,02,EUR
OR00001364,2023-06-19,ZOR,C000052,2000,30,00,GBP
OR00001365,2023-09-10,ZOR,C000024,2000,20,02,GBP
OR00001366,2022-02-15,ZOR,C000011,1000,10,02,GBP
OR00001367,2023-08-26,OR,C000073,1000,20,01,GBP
OR00001368,2024-03-27,ZOR,C000014,2000,30,02,USD
OR00001369,2022-04-25,RE,C000045,3000,20,00,GBP
OR00001370,2022-07-06,RE,C000006,3000,10,01,EUR
OR00001371,2024-07-27,OR,C000076,1000,10,02,USD
OR00001372,2022-04-27,OR,C000021,2000,30,00,USD
OR00001373,2024-01-13,OR,C000026,2000,10,01,GBP
OR00001374,2023-03-05,RE,C000007,2000,10,01,GBP
OR00001375,2022-07-17,ZOR,C000065,3000,30,00,GBP
OR00001376,2024-02-03,RE,C000001,2000,10,00,GBP
OR00001377,2023-01-25,RE,C000077,2000,20,01,USD
OR00001378,2023-03-23,RE,C000073,2000,20,00,GBP
OR00001379,2022-11-09,OR,C000039,3000,10,02,USD
OR00001380,2023-05-21,RE,C000025,3000,10,00,USD
OR00001381,2022-04-03,ZOR,C000020,3000,20,00,GBP
OR00001382,2022-12-09,ZOR,C000075,1000,10,01,GBP
OR00001383,2024-07-22,OR,C000050,1000,30,01,EUR
OR00001384,2022-07-29,OR,C000055,1000,30,01,USD
OR00001385,2023-07-09,ZOR,C000064,2000,10,02,EUR
OR00001386,2022-10-07,ZOR,C000040,1000,30,01,GBP
OR00001387,2023-10-18,OR,C000031,2000,10,01,EUR
OR00001388,2022-02-14,ZOR,C000039,3000,20,00,USD
OR00001389,2024-07-23,OR,C000014,2000,10,02,GBP
OR00001390,2023-02-01,OR,C000009,1000,30,00,EUR
OR00001391,2022-07-04,OR,C000051,2000,20,00,GBP
OR00001392,2021-11-03,OR,C000041,1000,10,00,GBP
OR00001393,2022-04-11,ZOR,C000078,2000,30,02,EUR
OR00001394,2023-03-27,OR,C000007,1000,10,01,EUR
OR00001395,2022-10-19,RE,C000031,3000,10,01,USD
OR00001396,2023-12-15,OR,C000029,1000,30,02,GBP
OR00001397,2023-01-13,RE,C000066,2000,30,01,EUR
OR00001398,2022-07-18,OR,C000014,2000,10,02,EUR
OR00001399,2023-06-08,ZOR,C000039,2000,20,02,EUR
OR00001400,2023-08-18,RE,C000058,3000,30,02,EUR
OR00001401,2022-04-08,OR,C000070,2000,20,01,USD
OR00001402,2022-04-09,OR,C000027,2000,30,00,USD
OR00001403,2021-08-05,ZOR,C000069,3000,30,01,USD
OR00001404,2023-09-13,RE,C000052,1000,20,02,USD
OR00001405,2023-07-14,OR,C000006,2000,30,02,USD
OR00001406,2023-02-19,OR,C000036,3000,10,00,USD
OR00001407,2024-01-01,ZOR,C000007,3000,20,02,GBP
OR00001408,2023-11-19,ZOR,C000043,3000,30,00,GBP
OR00001409,2023-05-16,OR,C000053,2000,10,00,USD
OR00001410,2024-01-30,OR,C000051,3000,10,00,USD
OR00001411,2022-05-29,ZOR,C000022,1000,30,00,EUR
OR00001412,2022-01-14,OR,C000035,1000,20,02,GBP
OR00001413,2022-08-11,ZOR,C000048,3000,10,01,GBP
OR00001414,2021-09-28,OR,C000042,3000,30,01,EUR
OR00001415,2023-04-05,OR,C000078,2000,30,01,GBP
OR00001416,2024-05-12,ZOR,C000014,3000,10,01,GBP
OR00001417,2021-08-13,ZOR,C000028,1000,20,01,USD
OR00001418,2022-01-31,ZOR,C000031,2000,10,00,GBP
OR00001419,2023-01-31,OR,C000020,3000,20,00,EUR
OR00001420,2024-05-07,ZOR,C000016,3000,10,01,EUR
OR00001421,2022-09-28,OR,C000039,3000,30,02,USD
OR00001422,2023-03-17,RE,C000024,1000,10,02,USD
OR00001423,2021-08-19,RE,C000030,2000,10,02,EUR
OR00001424,2022-03-12,RE,C000078,1000,20,00,EUR
OR00001425,2024-09-15,RE,C000067,1000,10,01,USD
OR00001426,2024-07-11,ZOR,C000044,2000,10,01,USD
OR00001427,2021-03-21,RE,C000027,1000,20,01,EUR
OR00001428,2024-06-11,RE,C000001,3000,20,01,USD
OR00001429,2023-06-25,OR,C000075,2000,30,01,USD
OR00001430,2024-01-30,ZOR,C000014,2000,20,01,EUR
OR00001431,2023-02-02,RE,C000027,1000,20,02,GBP
OR00001432,2023-03-24,OR,C000069,2000,20,00,EUR
OR00001433,2023-03-02,RE,C000069,2000,20,02,USD
OR00001434,2023-07-17,ZOR,C000011,3000,30,01,GBP
OR00001435,2022-02-27,ZOR,C000007,2000,20,00,USD
OR00001436,2021-07-15,RE,C000030,1000,30,00,USD
OR00001437,2022-09-20,ZOR,C000039,2000,20,01,USD
OR00001438,2023-08-17,OR,C000076,2000,30,01,EUR
OR00001439,2022-05-24,ZOR,C000037,1000,10,01,EUR
OR00001440,2023-07-22,ZOR,C000005,2000,20,02,GBP
OR00001441,2024-07-23,RE,C000024,1000,20,01,USD
OR00001442,2021-12-13,RE,C000009,1000,20,02,GBP
OR00001443,2023-07-21,ZOR,C000036,1000,20,02,EUR
OR00001444,2023-01-24,ZOR,C000048,2000,20,02,GBP
OR00001445,2024-01-30,ZOR,C000041,3000,10,02,GBP
OR00001446,2022-04-21,ZOR,C000022,2000,20,00,USD
OR00001447,2023-08-07,RE,C000046,3000,30,02,EUR
OR00001448,2023-12-25,RE,C000027,3000,20,02,USD
OR00001449,2024-05-27,ZOR,C000074,3000,30,00,USD
OR00001450,2023-07-30,OR,C000026,2000,20,00,EUR
OR00001451,2023-03-09,OR,C000076,1000,30,01,USD
OR00001452,2023-06-09,RE,C000013,3000,20,01,GBP
OR00001453,2024-01-31,OR,C000044,2000,20,02,USD
OR00001454,2023-05-05,OR,C000049,1000,10,02,GBP
OR00001455,2021-07-17,ZOR,C000011,3000,20,00,GBP
OR00001456,2024-05-02,OR,C000007,1000,10,00,GBP
OR00001457,2023-08-04,ZOR,C000019,1000,20,00,EUR
OR00001458,2023-07-24,ZOR,C000039,2000,20,02,GBP
OR00001459,2022-06-10,OR,C000056,3000,30,01,GBP
OR00001460,2023-07-10,ZOR,C000002,3000,20,02,EUR
OR00001461,2022-12-11,RE,C000043,3000,20,02,GBP
OR00001462,2023-07-04,OR,C000076,3000,20,01,USD
OR00001463,2022-01-05,RE,C000064,2000,30,02,EUR
OR00001464,2023-07-09,RE,C000055,2000,30,01,EUR
OR00001465,2024-12-08,RE,C000042,3000,20,02,GBP
OR00001466,2021-09-06,RE,C000068,1000,20,01,EUR
OR00001467,2024-08-13,RE,C000029,2000,20,01,USD
OR00001468,2022-12-23,ZOR,C000008,1000,10,00,GBP
OR00001469,2024-02-03,OR,C000053,3000,30,02,EUR
OR00001470,2023-10-27,ZOR,C000042,2000,10,01,USD
OR00001471,2023-05-02,OR,C000064,3000,20,02,USD
OR00001472,2023-09-15,OR,C000072,3000,20,01,EUR
OR00001473,2024-02-13,OR,C000062,3000,30,02,GBP
OR00001474,2022-12-20,RE,C000009,3000,30,01,EUR
OR00001475,2022-10-09,RE,C000055,3000,10,02,GBP
OR00001476,2023-07-17,ZOR,C000062,2000,20,02,GBP
OR00001477,2023-11-22,ZOR,C000079,2000,30,00,EUR
OR00001478,2023-10-07,OR,C000007,1000,20,02,EUR
OR00001479,2023-11-11,ZOR,C000040,3000,20,02,EUR
OR00001480,2023-01-17,OR,C000052,3000,20,02,GBP
OR00001481,2023-12-02,ZOR,C000057,1000,20,00,EUR
OR00001482,2022-01-28,ZOR,C000064,3000,20,00,USD
OR00001483,2023-04-15,ZOR,C000068,3000,10,01,GBP
OR00001484,2021-03-27,OR,C000055,2000,30,01,GBP
OR00001485,2022-10-07,RE,C000022,2000,30,00,EUR
OR00001486,2022-11-16,ZOR,C000047,3000,10,01,USD
OR00001487,2022-12-13,RE,C000019,2000,20,02,USD
OR00001488,2023-08-09,RE,C000010,3000,10,01,USD
OR00001489,2022-12-06,ZOR,C000028,3000,20,01,EUR
OR00001490,2023-01-28,ZOR,C000011,2000,10,02,USD
OR00001491,2022-07-06,ZOR,C000064,2000,30,00,USD
OR00001492,2022-11-22,OR,C000042,1000,10,00,EUR
OR00001493,2022-06-24,OR,C000006,2000,30,02,EUR
OR00001494,2021-11-02,RE,C000072,2000,10,02,EUR
OR00001495,2023-05-29,RE,C000014,1000,20,00,EUR
OR00001496,2023-07-18,OR,C000030,2000,30,00,GBP
OR00001497,2023-06-10,RE,C000077,2000,30,00,EUR
OR00001498,2023-02-09,OR,C000066,3000,10,00,EUR
OR00001499,2022-11-28,ZOR,C000011,2000,20,01,GBP
OR00001500,2024-01-24,OR,C000070,1000,30,01,EUR
OR00001501,2023-03-26,ZOR,C000010,3000,20,00,EUR
OR00001502,2023-02-22,ZOR,C000027,2000,30,01,USD
OR00001503,2021-07-01,OR,C000030,2000,30,01,GBP
OR00001504,2022-10-23,OR,C000021,2000,30,02,EUR
OR00001505,2022-11-29,RE,C000020,2000,10,00,EUR
OR00001506,2022-12-16,ZOR,C000049,3000,20,00,EUR
OR00001507,2023-05-12,OR,C000019,2000,20,02,USD
OR00001508,2023-04-07,OR,C000007,3000,30,00,EUR
OR00001509,2023-06-01,ZOR,C000017,2000,30,01,EUR
OR00001510,2023-10-10,RE,C000034,3000,20,01,GBP
OR00001511,2023-11-27,OR,C000047,2000,30,01,GBP
OR00001512,2023-08-28,RE,C000076,1000,30,01,GBP
OR00001513,2024-06-19,RE,C000024,3000,10,01,USD
OR00001514,2021-06-02,RE,C000040,1000,10,00,USD
OR00001515,2022-05-16,RE,C000080,3000,10,00,EUR
OR00001516,2021-04-09,OR,C000038,1000,10,02,EUR
OR00001517,2023-07-01,RE,C000065,3000,20,00,USD
OR00001518,2024-03-11,OR,C000071,1000,10,02,USD
OR00001519,2022-07-13,ZOR,C000003,2000,20,02,USD
OR00001520,2024-04-25,RE,C000058,2000,30,01,EUR
OR00001521,2021-10-05,ZOR,C000022,2000,20,00,EUR
OR00001522,2024-05-08,OR,C000002,2000,30,01,EUR
OR00001523,2022-11-02,ZOR,C000017,3000,10,00,USD
OR00001524,2021-12-27,ZOR,C000034,2000,30,00,USD
OR00001525,2023-02-28,RE,C000028,3000,30,01,EUR
OR00001526,2022-07-28,OR,C000032,1000,10,01,USD
OR00001527,2022-08-27,OR,C000040,2000,30,01,USD
OR00001528,2022-09-19,ZOR,C000057,3000,10,02,USD
OR00001529,2023-11-17,OR,C000043,1000,30,00,USD
OR00001530,2023-04-11,OR,C000013,2000,20,01,USD
OR00001531,2022-09-23,ZOR,C000047,3000,20,00,GBP
OR00001532,2023-06-03,RE,C000042,1000,20,02,USD
OR00001533,2023-08-27,RE,C000045,3000,20,02,EUR
OR00001534,2022-08-14,ZOR,C000041,1000,20,01,USD
OR00001535,2022-12-29,RE,C000069,2000,10,01,USD
OR00001536,2022-01-30,OR,C000038,2000,30,02,GBP
OR00001537,2022-04-27,RE,C000013,1000,30,00,EUR
OR00001538,2023-07-28,OR,C000015,3000,30,00,EUR
OR00001539,2022-04-27,RE,C000062,2000,10,00,GBP
OR00001540,2023-03-31,ZOR,C000046,1000,20,02,USD
OR00001541,2023-08-20,RE,C000067,3000,30,01,USD
OR00001542,2022-01-05,OR,C000058,3000,20,01,USD
OR00001543,2023-05-02,ZOR,C000052,1000,10,02,USD
OR00001544,2022-07-27,OR,C000072,3000,10,01,USD
OR00001545,2024-07-06,RE,C000044,1000,30,02,GBP
OR00001546,2023-02-26,OR,C000052,3000,30,01,USD
OR00001547,2023-11-20,RE,C000041,2000,30,00,USD
OR00001548,2023-04-19,OR,C000052,1000,10,00,USD
OR00001549,2021-08-24,RE,C000067,1000,20,00,GBP
OR00001550,2023-06-20,OR,C000028,2000,30,02,EUR
OR00001551,2024-06-10,OR,C000039,1000,10,00,EUR
OR00001552,2023-05-28,OR,C000039,1000,10,00,GBP
OR00001553,2023-12-04,RE,C000034,1000,30,02,EUR
OR00001554,2024-02-20,RE,C000065,1000,10,02,GBP
OR00001555,2022-06-25,OR,C000038,1000,20,00,EUR
OR00001556,2022-06-05,ZOR,C000040,1000,30,02,USD
OR00001557,2023-06-04,RE,C000001,2000,10,01,EUR
OR00001558,2022-12-27,OR,C000009,1000,20,01,EUR
OR00001559,2023-12-27,RE,C000034,3000,30,02,GBP
OR00001560,2024-03-14,RE,C000030,3000,30,00,EUR
OR00001561,2022-11-04,ZOR,C000067,3000,20,02,EUR
OR00001562,2022-07-05,OR,C000057,3000,20,01,GBP
OR00001563,2023-10-25,ZOR,C000022,2000,20,00,EUR
OR00001564,2022-08-16,OR,C000062,3000,10,01,USD
OR00001565,2023-12-08,ZOR,C000050,1000,30,01,GBP
OR00001566,2023-01-07,RE,C000059,2000,20,02,USD
OR00001567,2023-07-17,RE,C000071,1000,20,02,USD
OR00001568,2021-12-16,ZOR,C000001,3000,30,00,EUR
OR00001569,2023-06-13,ZOR,C000048,2000,20,00,GBP
OR00001570,2023-01-31,OR,C000047,3000,30,00,EUR
OR00001571,2023-05-17,RE,C000011,3000,10,00,EUR
OR00001572,2022-04-09,RE,C000049,1000,30,02,GBP
OR00001573,2023-09-14,RE,C000017,3000,10,00,USD
OR00001574,2024-01-23,ZOR,C000053,2000,10,00,USD
OR00001575,2022-06-11,OR,C000052,1000,20,02,USD
OR00001576,2021-12-16,OR,C000065,1000,20,00,USD
OR00001577,2021-06-23,ZOR,C000042,2000,10,01,EUR
OR00001578,2023-06-27,ZOR,C000050,1000,10,01,USD
OR00001579,2023-06-01,RE,C000045,3000,10,01,GBP
OR00001580,2023-04-17,OR,C000021,1000,10,02,USD
OR00001581,2022-06-29,ZOR,C000015,3000,30,02,GBP
OR00001582,2022-12-09,ZOR,C000024,1000,10,00,GBP
OR00001583,2023-05-22,OR,C000046,3000,30,00,USD
OR00001584,2023-03-09,OR,C000002,1000,10,01,USD
OR00001585,2024-09-19,ZOR,C000026,1000,30,00,EUR
OR00001586,2022-02-22,RE,C000079,2000,30,02,EUR
OR00001587,2023-08-09,OR,C000033,2000,10,01,EUR
OR00001588,2022-12-21,OR,C000022,3000,10,01,USD
OR00001589,2023-01-11,RE,C000079,2000,10,02,GBP
OR00001590,2023-08-28,RE,C000042,1000,20,02,EUR
OR00001591,2023-08-06,OR,C000006,1000,20,00,EUR
OR00001592,2024-10-05,ZOR,C000003,3000,30,00,GBP
OR00001593,2022-02-10,ZOR,C000057,2000,30,02,USD
OR00001594,2021-12-31,ZOR,C000003,2000,20,00,EUR
OR00001595,2023-09-03,OR,C000024,1000,20,02,GBP
OR00001596,2023-05-11,RE,C000074,2000,30,02,USD
OR00001597,2022-08-16,RE,C000032,3000,10,02,USD
OR00001598,2021-11-15,ZOR,C000055,3000,20,01,GBP
OR00001599,2021-11-27,RE,C000044,3000,10,02,GBP
OR00001600,2024-03-05,RE,C000049,2000,10,01,GBP
OR00001601,2022-05-11,ZOR,C000060,1000,30,02,USD
OR00001602,2022-10-06,RE,C000075,2000,10,02,EUR
OR00001603,2022-06-23,OR,C000051,1000,20,00,EUR
OR00001604,2022-11-05,OR,C000005,3000,20,01,EUR
OR00001605,2021-10-25,OR,C000015,3000,30,00,GBP
OR00001606,2023-03-26,OR,C000054,2000,30,01,USD
OR00001607,2021-10-22,ZOR,C000032,2000,20,01,EUR
OR00001608,2023-11-14,RE,C000025,3000,10,01,GBP
OR00001609,2022-07-01,RE,C000048,1000,20,00,EUR
OR00001610,2023-04-12,OR,C000044,1000,10,00,GBP
OR00001611,2024-02-15,RE,C000071,1000,30,00,GBP
OR00001612,2023-07-04,ZOR,C000015,1000,10,01,USD
OR00001613,2023-04-06,ZOR,C000036,1000,20,01,GBP
OR00001614,2022-10-07,ZOR,C000038,3000,20,01,GBP
OR00001615,2022-10-15,ZOR,C000023,1000,20,02,EUR
OR00001616,2023-07-19,ZOR,C000020,1000,20,02,USD
OR00001617,2024-10-21,OR,C000026,3000,30,01,USD
OR00001618,2023-07-13,ZOR,C000016,1000,30,02,EUR
OR00001619,2023-04-25,RE,C000072,2000,10,02,USD
OR00001620,2023-09-08,RE,C000058,2000,20,00,GBP
OR00001621,2023-02-11,OR,C000007,1000,20,02,GBP
OR00001622,2021-10-05,RE,C000002,2000,20,02,GBP
OR00001623,2023-04-29,OR,C000052,2000,30,00,EUR
OR00001624,2024-06-23,OR,C000049,3000,30,01,USD
OR00001625,2022-04-19,RE,C000028,2000,10,01,GBP
OR00001626,2023-08-04,ZOR,C000027,2000,10,01,USD
OR00001627,2022-05-22,ZOR,C000046,1000,30,02,USD
OR00001628,2023-04-08,OR,C000006,3000,20,01,USD
OR00001629,2021-12-18,ZOR,C000009,3000,20,02,GBP
OR00001630,2023-01-29,ZOR,C000011,1000,20,00,EUR
OR00001631,2023-10-02,RE,C000076,2000,20,01,EUR
OR00001632,2022-10-29,RE,C000054,2000,30,01,USD
OR00001633,2023-07-15,ZOR,C000053,1000,30,00,GBP
OR00001634,2023-11-09,OR,C000014,1000,30,00,EUR
OR00001635,2024-04-25,OR,C000054,1000,10,02,USD
OR00001636,2022-07-02,ZOR,C000054,3000,20,01,GBP
OR00001637,2022-12-16,OR,C000056,2000,30,01,EUR
OR00001638,2022-03-18,RE,C000079,2000,10,02,USD
OR00001639,2024-10-11,OR,C000070,2000,30,02,GBP
OR00001640,2024-04-25,ZOR,C000011,1000,30,02,USD
OR00001641,2023-04-12,ZOR,C000025,2000,30,02,USD
OR00001642,2023-12-30,OR,C000028,2000,10,02,GBP
OR00001643,2023-03-28,ZOR,C000020,2000,20,01,GBP
OR00001644,2023-06-13,ZOR,C000047,3000,20,01,GBP
OR00001645,2021-12-04,RE,C000037,2000,20,02,EUR
OR00001646,2023-10-01,OR,C000008,3000,10,00,USD
OR00001647,2022-02-09,RE,C000049,1000,10,01,EUR
OR00001648,2023-12-11,OR,C000015,1000,20,01,USD
OR00001649,2023-10-26,RE,C000060,2000,20,01,EUR
OR00001650,2023-08-20,OR,C000010,3000,20,00,GBP
OR00001651,2021-08-04,ZOR,C000012,2000,20,02,EUR
OR00001652,2022-09-15,OR,C000039,3000,20,02,USD
OR00001653,2022-08-04,ZOR,C000056,3000,10,02,EUR
OR00001654,2022-11-10,ZOR,C000047,2000,30,01,GBP
OR00001655,2021-12-01,RE,C000012,1000,10,01,EUR
OR00001656,2024-05-13,ZOR,C000023,3000,20,00,USD
OR00001657,2023-04-22,RE,C000021,3000,10,02,GBP
OR00001658,2022-09-18,OR,C000021,3000,10,02,GBP
OR00001659,2022-12-14,RE,C000051,3000,10,00,EUR
OR00001660,2023-01-27,RE,C000011,1000,30,02,GBP
OR00001661,2023-05-27,ZOR,C000038,1000,10,00,GBP
OR00001662,2023-03-24,RE,C000010,2000,20,01,USD
OR00001663,2024-04-12,RE,C000004,3000,20,00,USD
OR00001664,2023-03-09,OR,C000067,3000,20,00,EUR
OR00001665,2024-10-10,ZOR,C000028,2000,30,01,EUR
OR00001666,2024-01-10,RE,C000070,2000,30,01,GBP
OR00001667,2022-06-01,OR,C000071,2000,30,02,USD
OR00001668,2024-05-01,RE,C000054,2000,30,01,GBP
OR00001669,2022-01-21,RE,C000034,2000,10,02,USD
OR00001670,2023-12-02,RE,C000070,2000,30,00,GBP
OR00001671,2022-11-29,OR,C000045,3000,20,02,USD
OR00001672,2024-02-12,OR,C000004,1000,10,00,GBP
OR00001673,2024-01-30,RE,C000075,3000,20,00,GBP
OR00001674,2023-11-20,ZOR,C000009,3000,20,00,USD
OR00001675,2023-11-03,OR,C000016,3000,20,01,EUR
OR00001676,2022-09-17,ZOR,C000058,2000,20,02,GBP
OR00001677,2021-11-18,OR,C000012,1000,20,00,EUR
OR00001678,2022-12-19,OR,C000058,3000,30,00,USD
OR00001679,2022-04-17,OR,C000028,3000,30,01,GBP
OR00001680,2023-08-09,OR,C000067,3000,30,00,GBP
OR00001681,2022-10-28,OR,C000075,1000,30,01,EUR
OR00001682,2024-08-08,OR,C000059,2000,30,02,USD
OR00001683,2023-06-26,OR,C000071,2000,20,02,GBP
OR00001684,2023-12-07,ZOR,C000019,2000,30,00,GBP
OR00001685,2022-02-16,OR,C000025,3000,30,00,EUR
OR00001686,2024-01-22,OR,C000056,1000,10,01,GBP
OR00001687,2024-04-18,RE,C000056,2000,30,01,EUR
OR00001688,2023-03-01,OR,C000041,2000,20,01,EUR
OR00001689,2023-05-31,ZOR,C000008,1000,20,02,USD
OR00001690,2023-10-10,ZOR,C000045,2000,10,00,USD
OR00001691,2022-04-18,ZOR,C000049,1000,20,02,EUR
OR00001692,2023-03-13,OR,C000074,1000,30,01,USD
OR00001693,2022-12-16,OR,C000064,2000,30,00,USD
OR00001694,2022-03-09,RE,C000001,3000,20,00,GBP
OR00001695,2022-11-17,OR,C000069,3000,20,01,EUR
OR00001696,2021-10-23,OR,C000035,2000,10,02,GBP
OR00001697,2021-07-01,RE,C000048,3000,30,00,EUR
OR00001698,2022-02-20,ZOR,C000067,3000,10,01,GBP
OR00001699,2024-07-06,RE,C000067,1000,10,02,EUR
OR00001700,2023-04-19,OR,C000045,3000,30,02,USD
OR00001701,2024-07-13,ZOR,C000029,2000,20,00,EUR
OR00001702,2023-01-14,RE,C000038,3000,20,00,GBP
OR00001703,2022-09-24,OR,C000010,3000,20,00,USD
OR00001704,2023-03-16,ZOR,C000060,3000,20,00,GBP
OR00001705,2023-01-20,OR,C000035,3000,10,01,GBP
OR00001706,2022-01-03,ZOR,C000061,3000,20,02,EUR
OR00001707,2023-06-26,ZOR,C000077,1000,20,01,GBP
OR00001708,2022-06-10,RE,C000070,1000,30,02,EUR
OR00001709,2023-06-10,OR,C000058,3000,30,02,GBP
OR00001710,2023-07-03,RE,C000051,2000,10,00,USD
