VBELN,POSNR,MATNR,MATKL,WERKS,KWMENG,NETPR,NETWR,ERDAT,LGORT
OR00001464,000030,MAT000002,CONS,P005,109,77.55,8452.95,2023-07-09,L002
OR00001464,000040,MAT000040,CHEM,P005,72,45.17,3252.24,2023-07-09,L004
OR00001465,000010,MAT000033,CHEM,P003,160,355.73,56916.8,2024-12-08,L003
OR00001465,000020,MAT000040,CHEM,P003,38,36.86,1400.68,2024-12-08,L003
OR00001466,000010,MAT000008,PACK,P004,165,215.08,35488.2,2021-09-06,L003
OR00001467,000010,MAT000028,PACK,P003,150,267.05,40057.5,2024-08-13,L004
OR00001467,000020,MAT000020,ELEC,P003,71,8.93,634.03,2024-08-13,L001
OR00001467,000030,MAT000008,PACK,P003,171,178.73,30562.83,2024-08-13,L002
OR00001468,000010,MAT000037,CHEM,P001,73,76.57,5589.61,2022-12-23,L003
OR00001468,000020,MAT000031,MECH,P001,277,373.83,103550.91,2022-12-23,L003
OR00001468,000030,MAT000010,PACK,P001,295,87.86,25918.7,2022-12-23,L004
OR00001469,000010,MAT000004,PACK,P005,57,105.97,6040.29,2024-02-03,L003
OR00001469,000020,MAT000006,MECH,P005,113,420.06,47466.78,2024-02-03,L003
OR00001469,000030,MAT000033,CHEM,P005,55,124.8,6864.0,2024-02-03,L004
OR00001469,000040,MAT000003,MECH,P005,123,245.56,30203.88,2024-02-03,L003
OR00001470,000010,MAT000026,CHEM,P003,255,244.86,62439.3,2023-10-27,L003
OR00001470,000020,MAT000003,MECH,P003,303,204.44,61945.32,2023-10-27,L002
OR00001471,000010,MAT000020,ELEC,P002,29,80.81,2343.49,2023-05-02,L003
OR00001471,000020,MAT000040,CHEM,P002,102,315.14,32144.28,2023-05-02,L002
OR00001471,000030,MAT000037,CHEM,P002,122,26.07,3180.54,2023-05-02,L001
OR00001471,000040,MAT000005,ELEC,P002,109,362.71,39535.39,2023-05-02,L002
OR00001472,000010,MAT000036,CHEM,P002,39,211.31,8241.09,2023-09-15,L002
OR00001472,000020,MAT000009,ELEC,P002,147,241.46,35494.62,2023-09-15,L003
OR00001472,000030,MAT000006,MECH,P002,81,6.25,506.25,2023-09-15,L001
OR00001473,000010,MAT000039,CHEM,P003,107,244.22,26131.54,2024-02-13,L003
OR00001474,000010,MAT000020,ELEC,P002,241,172.83,41652.03,2022-12-20,L001
OR00001475,000010,MAT000034,CONS,P003,244,139.7,34086.8,2022-10-09,L004
OR00001475,000020,MAT000022,ELEC,P003,147,391.17,57501.99,2022-10-09,L001
OR00001476,000010,MAT000014,PACK,P001,143,238.02,34036.86,2023-07-17,L004
OR00001476,000020,MAT000020,ELEC,P001,18,208.21,3747.78,2023-07-17,L002
OR00001476,000030,MAT000015,ELEC,P001,30,415.88,12476.4,2023-07-17,L003
OR00001477,000010,MAT000023,CHEM,P001,71,234.59,16655.89,2023-11-22,L001
OR00001478,000010,MAT000030,CONS,P001,85,40.52,3444.2,2023-10-07,L003
OR00001478,000020,MAT000015,ELEC,P001,252,71.08,17912.16,2023-10-07,L003
OR00001478,000030,MAT000019,CHEM,P001,129,252.74,32603.46,2023-10-07,L004
OR00001478,000040,MAT000040,CHEM,P001,77,174.59,13443.43,2023-10-07,L004
OR00001479,000010,MAT000014,PACK,P001,97,270.52,26240.44,2023-11-11,L003
OR00001479,000020,MAT000040,CHEM,P001,128,417.82,53480.96,2023-11-11,L003
OR00001479,000030,MAT000021,ELEC,P001,192,154.2,29606.4,2023-11-11,L004
OR00001479,000040,MAT000010,PACK,P001,152,53.37,8112.24,2023-11-11,L004
OR00001480,000010,MAT000013,CONS,P001,91,110.64,10068.24,2023-01-17,L003
OR00001481,000010,MAT000038,PACK,P001,311,336.37,104611.07,2023-12-02,L004
OR00001481,000020,MAT000029,CHEM,P001,291,411.15,119644.65,2023-12-02,L002
OR00001481,000030,MAT000007,MECH,P001,89,177.9,15833.1,2023-12-02,L003
OR00001481,000040,MAT000017,PACK,P001,192,25.66,4926.72,2023-12-02,L002
OR00001482,000010,MAT000002,CONS,P003,21,232.76,4887.96,2022-01-28,L001
OR00001482,000020,MAT000013,CONS,P003,192,380.2,72998.4,2022-01-28,L004
OR00001482,000030,MAT000039,CHEM,P003,156,194.69,30371.64,2022-01-28,L003
OR00001482,000040,MAT000025,CONS,P003,120,273.78,32853.6,2022-01-28,L002
OR00001483,000010,MAT000008,PACK,P003,167,121.99,20372.33,2023-04-15,L004
OR00001483,000020,MAT000024,ELEC,P003,109,128.74,14032.66,2023-04-15,L002
OR00001484,000010,MAT000003,MECH,P004,28,271.47,7601.16,2021-03-27,L003
OR00001484,000020,MAT000032,PACK,P004,166,110.75,18384.5,2021-03-27,L003
OR00001484,000030,MAT000004,PACK,P004,30,307.99,9239.7,2021-03-27,L001
OR00001484,000040,MAT000030,CONS,P004,61,303.78,18530.58,2021-03-27,L003
OR00001485,000010,MAT000015,ELEC,P004,144,410.99,59182.56,2022-10-07,L001
OR00001485,000020,MAT000021,ELEC,P004,226,481.82,108891.32,2022-10-07,L002
OR00001485,000030,MAT000031,MECH,P004,280,486.83,136312.4,2022-10-07,L001
OR00001485,000040,MAT000037,CHEM,P004,196,230.86,45248.56,2022-10-07,L002
OR00001486,000010,MAT000022,ELEC,P004,232,448.98,104163.36,2022-11-16,L004
OR00001486,000020,MAT000012,CONS,P004,250,355.23,88807.5,2022-11-16,L001
OR00001487,000010,MAT000009,ELEC,P005,206,102.08,21028.48,2022-12-13,L002
OR00001488,000010,MAT000006,MECH,P003,168,403.98,67868.64,2023-08-09,L002
OR00001488,000020,MAT000007,MECH,P003,96,433.25,41592.0,2023-08-09,L004
OR00001488,000030,MAT000038,PACK,P003,215,228.49,49125.35,2023-08-09,L003
OR00001488,000040,MAT000032,PACK,P003,170,191.88,32619.6,2023-08-09,L003
OR00001489,000010,MAT000008,PACK,P002,157,387.37,60817.09,2022-12-06,L003
OR00001490,000010,MAT000010,PACK,P002,160,323.52,51763.2,2023-01-28,L001
OR00001490,000020,MAT000004,PACK,P002,183,225.06,41185.98,2023-01-28,L004
OR00001490,000030,MAT000014,PACK,P002,121,54.36,6577.56,2023-01-28,L003
OR00001491,000010,MAT000005,ELEC,P001,53,125.7,6662.1,2022-07-06,L002
OR00001492,000010,MAT000035,MECH,P003,112,5.8,649.6,2022-11-22,L004
OR00001492,000020,MAT000014,PACK,P003,268,149.08,39953.44,2022-11-22,L004
OR00001493,000010,MAT000007,MECH,P005,62,303.83,18837.46,2022-06-24,L001
OR00001493,000020,MAT000035,MECH,P005,90,243.98,21958.2,2022-06-24,L001
OR00001493,000030,MAT000016,CONS,P005,118,479.44,56573.92,2022-06-24,L004
OR00001493,000040,MAT000030,CONS,P005,23,275.07,6326.61,2022-06-24,L004
OR00001494,000010,MAT000003,MECH,P001,208,423.25,88036.0,2021-11-02,L003
OR00001494,000020,MAT000015,ELEC,P001,130,217.55,28281.5,2021-11-02,L003
OR00001495,000010,MAT000039,CHEM,P005,111,128.84,14301.24,2023-05-29,L001
OR00001495,000020,MAT000002,CONS,P005,157,376.59,59124.63,2023-05-29,L001
OR00001496,000010,MAT000004,PACK,P003,162,281.53,45607.86,2023-07-18,L001
OR00001496,000020,MAT000008,PACK,P003,35,274.69,9614.15,2023-07-18,L004
OR00001496,000030,MAT000036,CHEM,P003,105,233.87,24556.35,2023-07-18,L002
OR00001496,000040,MAT000005,ELEC,P003,27,461.53,12461.31,2023-07-18,L001
OR00001497,000010,MAT000026,CHEM,P002,23,214.6,4935.8,2023-06-10,L001
OR00001497,000020,MAT000001,PACK,P002,114,230.47,26273.58,2023-06-10,L003
OR00001498,000010,MAT000033,CHEM,P001,53,312.67,16571.51,2023-02-09,L001
OR00001498,000020,MAT000020,ELEC,P001,1,227.07,227.07,2023-02-09,L003
OR00001499,000010,MAT000023,CHEM,P004,11,368.53,4053.83,2022-11-28,L003
OR00001499,000020,MAT000008,PACK,P004,21,383.75,8058.75,2022-11-28,L002
OR00001500,000010,MAT000037,CHEM,P002,97,431.85,41889.45,2024-01-24,L004
OR00001500,000020,MAT000038,PACK,P002,25,249.01,6225.25,2024-01-24,L004
OR00001500,000030,MAT000001,PACK,P002,145,21.17,3069.65,2024-01-24,L004
OR00001500,000040,MAT000015,ELEC,P002,126,33.21,4184.46,2024-01-24,L003
OR00001501,000010,MAT000026,CHEM,P002,66,119.77,7904.82,2023-03-26,L003
OR00001502,000010,MAT000026,CHEM,P002,2,116.1,232.2,2023-02-22,L003
OR00001502,000020,MAT000030,CONS,P002,191,465.95,88996.45,2023-02-22,L004
OR00001502,000030,MAT000028,PACK,P002,183,421.81,77191.23,2023-02-22,L001
OR00001502,000040,MAT000004,PACK,P002,181,381.35,69024.35,2023-02-22,L001
OR00001503,000010,MAT000022,ELEC,P002,120,273.71,32845.2,2021-07-01,L001
OR00001503,000020,MAT000032,PACK,P002,104,437.26,45475.04,2021-07-01,L004
OR00001503,000030,MAT000017,PACK,P002,156,422.63,65930.28,2021-07-01,L001
OR00001503,000040,MAT000008,PACK,P002,63,428.94,27023.22,2021-07-01,L003
OR00001504,000010,MAT000031,MECH,P004,31,244.64,7583.84,2022-10-23,L004
OR00001504,000020,MAT000027,PACK,P004,130,227.54,29580.2,2022-10-23,L003
OR00001504,000030,MAT000008,PACK,P004,265,212.07,56198.55,2022-10-23,L004
OR00001505,000010,MAT000019,CHEM,P005,110,494.55,54400.5,2022-11-29,L001
OR00001505,000020,MAT000033,CHEM,P005,240,10.16,2438.4,2022-11-29,L003
OR00001506,000010,MAT000038,PACK,P005,22,70.45,1549.9,2022-12-16,L004
OR00001506,000020,MAT000039,CHEM,P005,195,314.27,61282.65,2022-12-16,L004
OR00001506,000030,MAT000012,CONS,P005,182,222.32,40462.24,2022-12-16,L003
OR00001506,000040,MAT000027,PACK,P005,137,328.86,45053.82,2022-12-16,L004
OR00001507,000010,MAT000005,ELEC,P004,174,182.01,31669.74,2023-05-12,L002
OR00001507,000020,MAT000006,MECH,P004,147,90.33,13278.51,2023-05-12,L001
OR00001507,000030,MAT000004,PACK,P004,106,451.0,47806.0,2023-05-12,L002
OR00001507,000040,MAT000029,CHEM,P004,65,119.75,7783.75,2023-05-12,L002
OR00001508,000010,MAT000025,CONS,P002,210,418.09,87798.9,2023-04-07,L004
OR00001508,000020,MAT000002,CONS,P002,173,133.0,23009.0,2023-04-07,L002
OR00001508,000030,MAT000026,CHEM,P002,204,202.42,41293.68,2023-04-07,L003
OR00001509,000010,MAT000039,CHEM,P002,15,175.1,2626.5,2023-06-01,L004
OR00001509,000020,MAT000020,ELEC,P002,156,21.34,3329.04,2023-06-01,L004
OR00001510,000010,MAT000022,ELEC,P003,219,383.51,83988.69,2023-10-10,L001
OR00001510,000020,MAT000016,CONS,P003,80,178.28,14262.4,2023-10-10,L003
OR00001510,000030,MAT000007,MECH,P003,52,8.2,426.4,2023-10-10,L002
OR00001510,000040,MAT000008,PACK,P003,153,496.71,75996.63,2023-10-10,L002
OR00001511,000010,MAT000035,MECH,P003,13,297.1,3862.3,2023-11-27,L002
OR00001511,000020,MAT000026,CHEM,P003,52,444.42,23109.84,2023-11-27,L004
OR00001511,000030,MAT000002,CONS,P003,14,51.05,714.7,2023-11-27,L003
OR00001511,000040,MAT000012,CONS,P003,193,210.28,40584.04,2023-11-27,L002
OR00001512,000010,MAT000011,CHEM,P005,149,401.71,59854.79,2023-08-28,L003
OR00001512,000020,MAT000034,CONS,P005,137,207.3,28400.1,2023-08-28,L001
OR00001512,000030,MAT000032,PACK,P005,142,290.83,41297.86,2023-08-28,L003
OR00001512,000040,MAT000013,CONS,P005,65,9.13,593.45,2023-08-28,L002
OR00001513,000010,MAT000021,ELEC,P005,17,93.5,1589.5,2024-06-19,L004
OR00001514,000010,MAT000001,PACK,P003,161,183.62,29562.82,2021-06-02,L003
OR00001514,000020,MAT000006,MECH,P003,43,141.34,6077.62,2021-06-02,L004
OR00001515,000010,MAT000027,PACK,P002,183,391.06,71563.98,2022-05-16,L003
OR00001515,000020,MAT000009,ELEC,P002,42,341.87,14358.54,2022-05-16,L004
OR00001515,000030,MAT000030,CONS,P002,59,413.49,24395.91,2022-05-16,L002
OR00001515,000040,MAT000021,ELEC,P002,177,243.23,43051.71,2022-05-16,L003
OR00001516,000010,MAT000010,PACK,P005,103,323.91,33362.73,2021-04-09,L004
OR00001516,000020,MAT000016,CONS,P005,14,432.89,6060.46,2021-04-09,L003
OR00001516,000030,MAT000036,CHEM,P005,136,81.0,11016.0,2021-04-09,L002
OR00001516,000040,MAT000014,PACK,P005,102,137.61,14036.22,2021-04-09,L003
OR00001517,000010,MAT000003,MECH,P001,83,490.7,40728.1,2023-07-01,L004
OR00001517,000020,MAT000007,MECH,P001,110,310.63,34169.3,2023-07-01,L003
OR00001517,000030,MAT000037,CHEM,P001,14,27.88,390.32,2023-07-01,L002
OR00001518,000010,MAT000001,PACK,P003,192,173.53,33317.76,2024-03-11,L002
OR00001518,000020,MAT000018,CHEM,P003,176,175.12,30821.12,2024-03-11,L003
OR00001518,000030,MAT000037,CHEM,P003,93,43.28,4025.04,2024-03-11,L002
OR00001518,000040,MAT000013,CONS,P003,164,46.22,7580.08,2024-03-11,L002
OR00001519,000010,MAT000012,CONS,P004,101,293.5,29643.5,2022-07-13,L002
OR00001519,000020,MAT000020,ELEC,P004,63,302.64,19066.32,2022-07-13,L002
OR00001519,000030,MAT000036,CHEM,P004,110,153.69,16905.9,2022-07-13,L004
OR00001520,000010,MAT000017,PACK,P002,51,102.79,5242.29,2024-04-25,L003
OR00001520,000020,MAT000020,ELEC,P002,81,233.91,18946.71,2024-04-25,L004
OR00001521,000010,MAT000020,ELEC,P005,60,287.82,17269.2,2021-10-05,L002
OR00001521,000020,MAT000015,ELEC,P005,114,325.4,37095.6,2021-10-05,L003
OR00001521,000030,MAT000034,CONS,P005,42,292.69,12292.98,2021-10-05,L004
OR00001521,000040,MAT000003,MECH,P005,19,361.89,6875.91,2021-10-05,L003
OR00001522,000010,MAT000031,MECH,P005,30,88.06,2641.8,2024-05-08,L004
OR00001522,000020,MAT000027,PACK,P005,197,348.47,68648.59,2024-05-08,L002
OR00001523,000010,MAT000039,CHEM,P003,304,461.86,140405.44,2022-11-02,L001
OR00001523,000020,MAT000015,ELEC,P003,39,78.41,3057.99,2022-11-02,L002
OR00001523,000030,MAT000004,PACK,P003,46,61.26,2817.96,2022-11-02,L004
OR00001523,000040,MAT000006,MECH,P003,75,201.02,15076.5,2022-11-02,L001
OR00001524,000010,MAT000034,CONS,P004,82,307.14,25185.48,2021-12-27,L002
OR00001525,000010,MAT000011,CHEM,P003,147,398.0,58506.0,2023-02-28,L003
OR00001525,000020,MAT000037,CHEM,P003,152,210.64,32017.28,2023-02-28,L004
OR00001525,000030,MAT000035,MECH,P003,137,45.8,6274.6,2023-02-28,L003
OR00001526,000010,MAT000030,CONS,P005,50,361.25,18062.5,2022-07-28,L002
OR00001526,000020,MAT000016,CONS,P005,119,289.45,34444.55,2022-07-28,L001
OR00001526,000030,MAT000026,CHEM,P005,76,229.37,17432.12,2022-07-28,L001
OR00001527,000010,MAT000021,ELEC,P003,213,92.14,19625.82,2022-08-27,L002
OR00001527,000020,MAT000017,PACK,P003,30,248.89,7466.7,2022-08-27,L002
OR00001527,000030,MAT000004,PACK,P003,201,35.28,7091.28,2022-08-27,L004
OR00001528,000010,MAT000015,ELEC,P003,121,163.14,19739.94,2022-09-19,L002
OR00001528,000020,MAT000037,CHEM,P003,211,297.03,62673.33,2022-09-19,L002
OR00001528,000030,MAT000026,CHEM,P003,166,259.13,43015.58,2022-09-19,L002
OR00001529,000010,MAT000002,CONS,P004,76,128.03,9730.28,2023-11-17,L002
OR00001529,000020,MAT000031,MECH,P004,15,118.85,1782.75,2023-11-17,L003
OR00001530,000010,MAT000013,CONS,P002,13,176.69,2296.97,2023-04-11,L003
OR00001530,000020,MAT000030,CONS,P002,18,67.13,1208.34,2023-04-11,L002
OR00001530,000030,MAT000011,CHEM,P002,70,19.03,1332.1,2023-04-11,L001
OR00001531,000010,MAT000004,PACK,P003,45,409.82,18441.9,2022-09-23,L003
OR00001531,000020,MAT000018,CHEM,P003,84,40.25,3381.0,2022-09-23,L002
OR00001531,000030,MAT000010,PACK,P003,108,428.65,46294.2,2022-09-23,L002
OR00001532,000010,MAT000016,CONS,P002,167,175.9,29375.3,2023-06-03,L001
OR00001533,000010,MAT000040,CHEM,P002,210,59.49,12492.9,2023-08-27,L004
OR00001534,000010,MAT000033,CHEM,P003,69,13.64,941.16,2022-08-14,L004
OR00001534,000020,MAT000009,ELEC,P003,34,71.39,2427.26,2022-08-14,L001
OR00001535,000010,MAT000001,PACK,P003,160,41.21,6593.6,2022-12-29,L001
OR00001536,000010,MAT000033,CHEM,P002,113,43.29,4891.77,2022-01-30,L002
OR00001536,000020,MAT000023,CHEM,P002,155,482.35,74764.25,2022-01-30,L001
OR00001536,000030,MAT000027,PACK,P002,106,383.9,40693.4,2022-01-30,L001
OR00001536,000040,MAT000039,CHEM,P002,22,458.65,10090.3,2022-01-30,L004
OR00001537,000010,MAT000035,MECH,P001,135,144.12,19456.2,2022-04-27,L004
OR00001538,000010,MAT000035,MECH,P004,124,213.13,26428.12,2023-07-28,L001
OR00001538,000020,MAT000023,CHEM,P004,70,332.11,23247.7,2023-07-28,L004
OR00001538,000030,MAT000006,MECH,P004,77,380.58,29304.66,2023-07-28,L002
OR00001538,000040,MAT000034,CONS,P004,72,264.38,19035.36,2023-07-28,L001
OR00001539,000010,MAT000019,CHEM,P002,99,100.61,9960.39,2022-04-27,L002
OR00001540,000010,MAT000035,MECH,P004,46,203.17,9345.82,2023-03-31,L004
OR00001541,000010,MAT000023,CHEM,P005,124,233.42,28944.08,2023-08-20,L001
OR00001541,000020,MAT000019,CHEM,P005,63,135.4,8530.2,2023-08-20,L001
OR00001541,000030,MAT000039,CHEM,P005,106,259.98,27557.88,2023-08-20,L004
OR00001542,000010,MAT000028,PACK,P003,73,27.49,2006.77,2022-01-05,L003
OR00001543,000010,MAT000014,PACK,P002,150,178.0,26700.0,2023-05-02,L003
OR00001543,000020,MAT000038,PACK,P002,102,396.55,40448.1,2023-05-02,L002
OR00001543,000030,MAT000010,PACK,P002,195,241.02,46998.9,2023-05-02,L002
OR00001543,000040,MAT000002,CONS,P002,5,54.21,271.05,2023-05-02,L004
OR00001544,000010,MAT000019,CHEM,P004,111,426.8,47374.8,2022-07-27,L002
OR00001544,000020,MAT000036,CHEM,P004,54,73.56,3972.24,2022-07-27,L003
OR00001544,000030,MAT000031,MECH,P004,52,16.77,872.04,2022-07-27,L001
OR00001545,000010,MAT000037,CHEM,P003,132,422.25,55737.0,2024-07-06,L004
OR00001546,000010,MAT000025,CONS,P004,44,400.18,17607.92,2023-02-26,L003
OR00001546,000020,MAT000007,MECH,P004,64,387.36,24791.04,2023-02-26,L001
OR00001546,000030,MAT000026,CHEM,P004,6,44.34,266.04,2023-02-26,L002
OR00001547,000010,MAT000018,CHEM,P002,240,209.32,50236.8,2023-11-20,L003
OR00001547,000020,MAT000007,MECH,P002,163,80.54,13128.02,2023-11-20,L004
OR00001547,000030,MAT000029,CHEM,P002,218,54.39,11857.02,2023-11-20,L004
OR00001547,000040,MAT000037,CHEM,P002,49,81.83,4009.67,2023-11-20,L003
OR00001548,000010,MAT000015,ELEC,P001,9,373.06,3357.54,2023-04-19,L004
OR00001548,000020,MAT000019,CHEM,P001,23,44.01,1012.23,2023-04-19,L003
OR00001549,000010,MAT000033,CHEM,P005,72,204.26,14706.72,2021-08-24,L001
OR00001549,000020,MAT000001,PACK,P005,185,61.81,11434.85,2021-08-24,L002
OR00001550,000010,MAT000032,PACK,P005,115,400.83,46095.45,2023-06-20,L004
OR00001550,000020,MAT000040,CHEM,P005,15,239.45,3591.75,2023-06-20,L003
OR00001550,000030,MAT000003,MECH,P005,119,428.48,50989.12,2023-06-20,L003
OR00001551,000010,MAT000017,PACK,P003,119,99.74,11869.06,2024-06-10,L001
OR00001551,000020,MAT000035,MECH,P003,54,121.18,6543.72,2024-06-10,L001
OR00001552,000010,MAT000010,PACK,P003,105,317.49,33336.45,2023-05-28,L001
OR00001553,000010,MAT000025,CONS,P001,24,229.83,5515.92,2023-12-04,L001
OR00001554,000010,MAT000021,ELEC,P005,180,75.79,13642.2,2024-02-20,L003
OR00001554,000020,MAT000025,CONS,P005,184,282.3,51943.2,2024-02-20,L002
OR00001555,000010,MAT000013,CONS,P001,120,56.3,6756.0,2022-06-25,L001
OR00001556,000010,MAT000021,ELEC,P001,98,335.92,32920.16,2022-06-05,L003
OR00001556,000020,MAT000008,PACK,P001,58,253.65,14711.7,2022-06-05,L004
OR00001557,000010,MAT000019,CHEM,P005,143,232.09,33188.87,2023-06-04,L002
OR00001558,000010,MAT000021,ELEC,P001,236,167.42,39511.12,2022-12-27,L004
OR00001558,000020,MAT000031,MECH,P001,195,32.05,6249.75,2022-12-27,L003
OR00001558,000030,MAT000009,ELEC,P001,8,429.64,3437.12,2022-12-27,L004
OR00001559,000010,MAT000001,PACK,P003,184,118.24,21756.16,2023-12-27,L003
OR00001559,000020,MAT000039,CHEM,P003,28,316.89,8872.92,2023-12-27,L003
OR00001559,000030,MAT000015,ELEC,P003,21,195.73,4110.33,2023-12-27,L002
OR00001559,000040,MAT000016,CONS,P003,58,405.49,23518.42,2023-12-27,L003
OR00001560,000010,MAT000026,CHEM,P001,17,269.24,4577.08,2024-03-14,L004
OR00001560,000020,MAT000016,CONS,P001,153,206.47,31589.91,2024-03-14,L001
OR00001560,000030,MAT000006,MECH,P001,39,201.1,7842.9,2024-03-14,L004
OR00001560,000040,MAT000003,MECH,P001,59,144.04,8498.36,2024-03-14,L003
OR00001561,000010,MAT000033,CHEM,P004,24,449.6,10790.4,2022-11-04,L002
OR00001561,000020,MAT000017,PACK,P004,163,17.55,2860.65,2022-11-04,L001
OR00001561,000030,MAT000034,CONS,P004,183,6.94,1270.02,2022-11-04,L001
OR00001562,000010,MAT000039,CHEM,P004,86,59.77,5140.22,2022-07-05,L001
OR00001562,000020,MAT000013,CONS,P004,72,353.22,25431.84,2022-07-05,L004
OR00001562,000030,MAT000003,MECH,P004,12,142.63,1711.56,2022-07-05,L001
OR00001563,000010,MAT000038,PACK,P001,89,120.48,10722.72,2023-10-25,L003
OR00001563,000020,MAT000028,PACK,P001,244,206.54,50395.76,2023-10-25,L003
OR00001563,000030,MAT000029,CHEM,P001,158,118.26,18685.08,2023-10-25,L001
OR00001564,000010,MAT000004,PACK,P001,83,399.5,33158.5,2022-08-16,L002
OR00001565,000010,MAT000040,CHEM,P004,182,230.9,42023.8,2023-12-08,L001
OR00001566,000010,MAT000033,CHEM,P002,56,406.83,22782.48,2023-01-07,L003
OR00001566,000020,MAT000032,PACK,P002,128,168.14,21521.92,2023-01-07,L002
OR00001566,000030,MAT000010,PACK,P002,137,242.19,33180.03,2023-01-07,L004
OR00001567,000010,MAT000018,CHEM,P004,43,447.8,19255.4,2023-07-17,L004
OR00001567,000020,MAT000037,CHEM,P004,111,468.93,52051.23,2023-07-17,L004
OR00001568,000010,MAT000021,ELEC,P003,185,441.01,81586.85,2021-12-16,L001
OR00001568,000020,MAT000030,CONS,P003,119,17.13,2038.47,2021-12-16,L002
OR00001569,000010,MAT000001,PACK,P003,69,424.24,29272.56,2023-06-13,L002
OR00001569,000020,MAT000007,MECH,P003,125,129.02,16127.5,2023-06-13,L002
OR00001569,000030,MAT000019,CHEM,P003,98,491.18,48135.64,2023-06-13,L004
OR00001569,000040,MAT000021,ELEC,P003,90,293.68,26431.2,2023-06-13,L002
OR00001570,000010,MAT000040,CHEM,P003,43,31.53,1355.79,2023-01-31,L001
OR00001571,000010,MAT000005,ELEC,P001,51,394.95,20142.45,2023-05-17,L001
OR00001571,000020,MAT000027,PACK,P001,42,428.43,17994.06,2023-05-17,L001
OR00001571,000030,MAT000038,PACK,P001,13,280.24,3643.12,2023-05-17,L002
OR00001571,000040,MAT000030,CONS,P001,185,267.77,49537.45,2023-05-17,L003
OR00001572,000010,MAT000031,MECH,P005,15,334.33,5014.95,2022-04-09,L001
OR00001572,000020,MAT000009,ELEC,P005,135,472.25,63753.75,2022-04-09,L004
OR00001572,000030,MAT000013,CONS,P005,144,495.97,71419.68,2022-04-09,L003
OR00001572,000040,MAT000014,PACK,P005,89,39.75,3537.75,2022-04-09,L002
OR00001573,000010,MAT000014,PACK,P001,62,195.28,12107.36,2023-09-14,L002
OR00001573,000020,MAT000006,MECH,P001,6,209.66,1257.96,2023-09-14,L001
OR00001573,000030,MAT000034,CONS,P001,186,305.74,56867.64,2023-09-14,L004
OR00001573,000040,MAT000026,CHEM,P001,113,456.97,51637.61,2023-09-14,L001
OR00001574,000010,MAT000037,CHEM,P004,188,117.92,22168.96,2024-01-23,L002
OR00001574,000020,MAT000005,ELEC,P004,75,450.35,33776.25,2024-01-23,L002
OR00001575,000010,MAT000038,PACK,P004,101,430.74,43504.74,2022-06-11,L002
OR00001575,000020,MAT000017,PACK,P004,53,309.38,16397.14,2022-06-11,L003
OR00001575,000030,MAT000039,CHEM,P004,46,262.52,12075.92,2022-06-11,L002
OR00001575,000040,MAT000040,CHEM,P004,151,384.54,58065.54,2022-06-11,L004
OR00001576,000010,MAT000028,PACK,P001,74,355.23,26287.02,2021-12-16,L001
OR00001577,000010,MAT000039,CHEM,P005,155,391.1,60620.5,2021-06-23,L004
OR00001577,000020,MAT000004,PACK,P005,96,461.54,44307.84,2021-06-23,L001
OR00001577,000030,MAT000025,CONS,P005,114,358.05,40817.7,2021-06-23,L003
OR00001578,000010,MAT000026,CHEM,P002,34,151.99,5167.66,2023-06-27,L001
OR00001578,000020,MAT000002,CONS,P002,35,175.63,6147.05,2023-06-27,L004
OR00001578,000030,MAT000014,PACK,P002,99,362.13,35850.87,2023-06-27,L002
OR00001578,000040,MAT000010,PACK,P002,131,488.49,63992.19,2023-06-27,L003
OR00001579,000010,MAT000018,CHEM,P001,115,198.8,22862.0,2023-06-01,L004
OR00001579,000020,MAT000006,MECH,P001,2,266.21,532.42,2023-06-01,L002
OR00001579,000030,MAT000005,ELEC,P001,65,328.2,21333.0,2023-06-01,L004
OR00001579,000040,MAT000031,MECH,P001,17,185.56,3154.52,2023-06-01,L003
OR00001580,000010,MAT000026,CHEM,P002,225,351.22,79024.5,2023-04-17,L002
OR00001580,000020,MAT000016,CONS,P002,145,320.56,46481.2,2023-04-17,L002
OR00001580,000030,MAT000003,MECH,P002,129,480.97,62045.13,2023-04-17,L002
OR00001581,000010,MAT000006,MECH,P001,119,359.55,42786.45,2022-06-29,L003
OR00001581,000020,MAT000011,CHEM,P001,171,274.66,46966.86,2022-06-29,L002
OR00001582,000010,MAT000002,CONS,P001,193,415.65,80220.45,2022-12-09,L001
OR00001582,000020,MAT000036,CHEM,P001,168,84.28,14159.04,2022-12-09,L004
OR00001582,000030,MAT000019,CHEM,P001,316,316.47,100004.52,2022-12-09,L003
OR00001582,000040,MAT000009,ELEC,P001,20,367.03,7340.6,2022-12-09,L003
OR00001583,000010,MAT000006,MECH,P003,31,345.87,10721.97,2023-05-22,L003
OR00001583,000020,MAT000003,MECH,P003,154,217.49,33493.46,2023-05-22,L002
OR00001583,000030,MAT000033,CHEM,P003,58,11.37,659.46,2023-05-22,L004
OR00001584,000010,MAT000034,CONS,P004,1,99.25,99.25,2023-03-09,L003
OR00001584,000020,MAT000015,ELEC,P004,149,410.54,61170.46,2023-03-09,L003
OR00001585,000010,MAT000036,CHEM,P004,131,210.69,27600.39,2024-09-19,L004
OR00001585,000020,MAT000002,CONS,P004,48,420.92,20204.16,2024-09-19,L004
OR00001586,000010,MAT000016,CONS,P004,60,130.85,7851.0,2022-02-22,L003
